YYYYMMDD,   TG,   TN,   TX,   SQ,   DR,   RH,   NG
  20080814,  151,   95,  206,   70,    7,    1,    3
  20080815,  147,   83,  212,  108,    5,   40,    1
  20080816,  159,   68,  228,  109,    0,    0,    2
  20080817,  163,  132,  218,    9,   15,   90,    8
  20080818,  161,  135,  191,    5,   96,  132,    8
  20080819,  175,  148,  220,   40,    7,   45,    7
  20080820,  167,  142,  193,   22,   41,   57,    8
  20080821,  170,  141,  206,   42,    3,   18,    6
  20080822,  145,   90,  199,    5,   56,   64,    7
  20080823,  148,  107,  195,   91,   29,  132,    6
  20080824,  152,   89,  201,   18,   13,    3,    6
  20080825,  180,  144,  220,   59,    0,   -1,    7
  20080826,  175,  165,  193,    0,    0,   -1,    8
  20080827,  168,  156,  181,    0,   10,    1,    8
  20080828,  178,  164,  197,    0,    0,    0,    8
  20080829,  182,  118,  232,   77,    0,    0,    4
  20080830,  187,  118,  249,  127,    0,    0,    0
  20080831,  207,  134,  275,  105,    0,   -1,    1
  20080901,  171,  131,  204,   46,    0,   -1,    5
  20080902,  151,  114,  186,    0,   66,   75,    7
  20080903,  139,  111,  173,   10,    2,    2,    5
  20080904,  154,  119,  193,   68,    0,    0,    5
  20080905,  161,  127,  193,    6,   42,   42,    8
  20080906,  174,  146,  206,   46,    2,    6,    5
  20080907,  151,  137,  169,    4,   42,   66,    7
  20080908,  148,  110,  182,   16,   37,   67,    7
  20080909,  173,  100,  233,  101,   15,   29,    4
  20080910,  180,  147,  226,   62,    0,    0,    5
  20080911,  201,  147,  264,   87,    2,   51,    4
  20080912,  163,  139,  200,   10,   89,  375,    8
  20080913,  129,   87,  164,   31,   18,    9,    5
  20080914,  119,   64,  174,  106,    0,    0,    1
  20080915,  118,   83,  167,   70,    0,    0,    4
  20080916,  124,   75,  165,   12,    0,    0,    8
  20080917,  112,   68,  160,   17,    0,    0,    5
  20080918,   99,   37,  166,  106,    0,    0,    0
  20080919,  102,   39,  172,   81,    0,    0,    2
  20080920,  106,   32,  181,  114,    0,    0,    0
  20080921,  126,   57,  176,   40,    0,    0,    5
  20080922,  133,  100,  167,   19,    0,   -1,    8
  20080923,  132,  121,  155,    1,   36,   18,    8
  20080924,  130,   94,  164,    8,    0,   -1,    6
  20080925,  117,   77,  176,   97,    0,    0,    1
  20080926,  116,   56,  184,  107,    0,    0,    0
  20080927,  104,   32,  196,  108,    0,    0,    0
  20080928,  110,   37,  186,   81,    7,    2,    4
  20080929,  116,   90,  142,   13,   44,   42,    7
  20080930,  124,  107,  137,    0,  176,  216,    8
  20081001,  121,   92,  152,   45,   78,  183,    7
  20081002,   94,   69,  129,   51,   51,  128,    6
  20081003,   84,   40,  123,   85,   20,   29,    5
  20081004,   91,   36,  114,   22,   25,    8,    6
  20081005,  113,   93,  124,    0,  197,  186,    8
  20081006,  110,   90,  150,   22,    0,   -1,    7
  20081007,  144,  108,  166,   26,    3,    1,    7
  20081008,  125,   53,  160,   25,   33,   11,    5
  20081009,   93,   35,  170,   87,    0,    0,    1
  20081010,  112,   47,  162,   75,    0,    0,    2
  20081011,  136,   97,  184,   78,    0,    0,    2
  20081012,  134,  120,  163,   40,    0,    0,    6
  20081013,  158,  102,  212,   65,    0,   -1,    5
  20081014,  150,  135,  177,   48,    0,   -1,    7
  20081015,  138,  116,  157,    0,   39,   54,    8
  20081016,  109,   78,  144,   37,   20,   50,    5
  20081017,   88,   37,  137,   46,   17,   14,    4
  20081018,  102,   42,  143,   45,    0,    0,    6
  20081019,  113,   92,  150,   25,    0,    0,    5
  20081020,  129,   83,  170,   73,    0,   -1,    5
  20081021,  100,   50,  154,   28,   86,   82,    6
  20081022,   85,   38,  134,   50,    0,    0,    4
  20081023,   94,   43,  140,   81,    0,    0,    3
  20081024,   89,   33,  106,    0,   74,   55,    7
  20081025,   80,   21,  132,   80,    0,    0,    4
  20081026,  119,  104,  130,    0,   94,   99,    8
  20081027,   85,   44,  119,   66,    0,   -1,    4
  20081028,   42,   -8,   80,   32,   28,   15,    4
  20081029,   12,  -19,   75,   37,    0,    0,    4
  20081030,   26,  -19,   66,   35,    0,   -1,    6
  20081031,   49,   15,   75,   33,    0,    0,    7
  20081101,   63,   51,   75,    0,   52,   32,    7
  20081102,   84,   34,  113,   33,    0,   -1,    5
  20081103,   80,   53,   92,    0,    0,   -1,    8
  20081104,   68,   46,   85,    0,    0,    0,    8
  20081105,   90,   75,  100,    0,   26,    5,    8
  20081106,  100,   82,  122,   36,    3,    1,    6
  20081107,   90,   51,  125,   37,   17,    5,    5
  20081108,   91,   53,  124,   78,    0,   -1,    2
  20081109,  101,   88,  115,   19,   21,   50,    6
  20081110,  129,  104,  152,    0,   68,  170,    8
  20081111,   94,   71,  111,   37,   73,  184,    5
  20081112,   82,   61,  107,   27,    7,    7,    5
  20081113,   84,   47,  116,   43,    2,    1,    4
  20081114,   98,   83,  110,    0,   65,    8,    8
  20081115,  113,  102,  125,    0,   39,   30,    8
  20081116,   82,   23,  116,    8,    0,   -1,    6
  20081117,   63,   15,  109,   35,    5,    1,    7
  20081118,   74,   52,  100,    9,   31,   13,    7
  20081119,   92,   72,  108,    6,    0,    0,    7
  20081120,   98,   68,  118,    8,   58,   56,    8
  20081121,   52,    8,   91,   36,   71,   94,    6
  20081122,   18,    4,   50,   36,   42,   79,    5
  20081123,    8,   -2,   23,    9,   77,   35,    6
  20081124,    8,  -17,   30,   28,   48,   39,    5
  20081125,   23,  -19,   73,   38,    2,    2,    3
  20081126,   47,  -23,   79,    0,   26,    7,    7
  20081127,   63,   50,   68,    0,    0,   -1,    8
  20081128,   37,   32,   50,    0,    0,    0,    8
  20081129,   19,  -19,   36,   12,    8,    2,    6
  20081130,    5,  -22,   26,    0,  101,   84,    7
  20081201,   37,   18,   55,    5,    0,   -1,    8
  20081202,   36,    9,   62,   21,   40,   51,    6
  20081203,   23,   -7,   55,   35,    7,   12,    4
  20081204,   26,    4,   54,    2,   44,   38,    7
  20081205,   52,   23,   66,    8,    0,   -1,    7
  20081206,   56,   28,   90,   40,    8,    4,    7
  20081207,   48,    1,   89,   65,    0,   -1,    2
  20081208,   20,    0,   42,   25,    0,    0,    5
  20081209,   17,   -3,   44,   10,   47,   26,    6
  20081210,   20,  -18,   54,   50,   27,   28,    4
  20081211,   31,   17,   37,    0,    2,    2,    8
  20081212,   16,   -8,   36,   23,    0,    0,    7
  20081213,   -5,  -24,    6,   61,    0,    0,    1
  20081214,   23,    0,   63,   20,    0,    0,    4
  20081215,   22,  -15,   41,    0,    0,    0,    7
  20081216,    0,  -15,   16,    0,    0,    0,    8
  20081217,   23,   -8,   68,   26,    0,   -1,    6
  20081218,   43,  -16,   81,    0,    0,   -1,    7
  20081219,   63,   46,   82,   54,   57,   55,    5
  20081220,   86,   62,  107,    0,   18,    9,    7
  20081221,   89,   65,  100,    0,   22,   11,    8
  20081222,   77,   10,  104,   29,   19,    6,    5
  20081223,   51,   19,   83,   12,    0,   -1,    8
  20081224,   66,   37,   82,    0,   10,    1,    7
  20081225,   36,    4,   62,    3,    0,    0,    5
  20081226,   -9,  -30,   14,   65,    0,    0,    0
  20081227,  -22,  -44,    5,   66,    0,    0,    0
  20081228,  -28,  -51,   -1,   66,    0,    0,    1
  20081229,  -38,  -58,   -2,   66,    0,    0,    0
  20081230,  -44,  -79,    5,   66,    0,    0,    0
  20081231,  -56,  -87,  -28,   31,    0,   -1,    4
  20090101,   -6,  -28,    5,    2,    0,    0,    8
  20090102,   -8,  -72,   19,   10,    6,    5,    5
  20090103,  -27,  -89,   16,    0,    0,   -1,    6
  20090104,   23,   13,   35,    0,  104,   40,    8
  20090105,  -12,  -46,   15,   38,   38,   21,    5
  20090106,  -59,  -96,  -13,   68,    0,    0,    0
  20090107,   -8,  -67,   35,   11,   11,    2,    7
  20090108,  -45,  -73,  -31,    0,    0,   -1,    7
  20090109,  -69, -103,  -16,   65,    0,   -1,    0
  20090110,  -68, -105,  -36,   68,    0,    0,    0
  20090111,  -11,  -60,   24,   69,    0,    0,    2
  20090112,   39,   14,   58,    2,   36,   24,    7
  20090113,   46,   39,   52,    0,   83,   40,    8
  20090114,   41,   25,   63,   10,    0,   -1,    8
  20090115,   26,   10,   50,   69,    0,    0,    5
  20090116,   17,    1,   37,    0,    0,   -1,    8
  20090117,   50,   28,   75,    8,   15,    7,    7
  20090118,   55,   21,   77,    7,   30,   54,    5
  20090119,   48,   21,   88,   10,   58,   41,    7
  20090120,   40,   18,   64,   35,    7,    9,    6
  20090121,   34,   12,   56,   10,    0,    0,    8
  20090122,   40,   16,   62,    0,  100,   68,    8
  20090123,   51,   37,   77,    0,  161,  226,    8
  20090124,   40,    9,   61,   26,    0,   -1,    6
  20090125,   22,   -2,   50,   59,    0,    0,    5
  20090126,   13,  -23,   56,   58,    0,    0,    2
  20090127,   -5,  -41,   38,   70,    0,    0,    3
  20090128,  -10,  -47,   28,   77,    0,    0,    2
  20090129,  -12,  -39,   25,   79,    0,    0,    2
  20090130,    1,  -44,   51,   77,    0,    0,    0
  20090131,    1,  -26,   32,   80,    0,    0,    1
  20090201,  -13,  -25,   11,   41,    0,   -1,    5
  20090202,   14,  -19,   35,    2,    0,   -1,    7
  20090203,   22,    3,   40,    0,   66,   24,    8
  20090204,    4,    0,    8,    0,    0,   -1,    8
  20090205,   33,   -5,   66,   14,   28,   30,    7
  20090206,   41,   10,   92,   45,    0,   -1,    6
  20090207,   29,   11,   52,   19,   42,   30,    7
  20090208,   13,   -7,   43,   32,   16,   17,    5
  20090209,   26,   -3,   47,    0,   78,   98,    8
  20090210,   38,   12,   76,    0,   82,   82,    8
  20090211,   24,  -10,   62,   40,   22,   23,    4
  20090212,   16,   -9,   51,   70,    6,    5,    4
  20090213,   17,    4,   30,    3,   43,   23,    6
  20090214,   -6,  -42,   40,   77,    0,    0,    1
  20090215,   15,  -45,   48,    3,   72,   33,    7
  20090216,   61,   47,   92,    9,   90,   59,    8
  20090217,   40,   -9,   65,    0,   77,   38,    7
  20090218,   -4,  -33,   31,   52,    0,    0,    6
  20090219,   18,  -20,   47,    0,   39,   10,    8
  20090220,   52,   40,   65,    1,   20,    6,    8
  20090221,   55,   31,   85,   14,    0,    0,    8
  20090222,   66,   54,   88,    0,   17,    5,    8
  20090223,   61,   39,   77,   11,   22,    7,    8
  20090224,   41,   18,   59,   10,    0,    0,    7
  20090225,   49,   25,   67,    7,   18,    6,    8
  20090226,   68,   55,   83,   20,   38,   16,    6
  20090227,   74,   62,   86,    0,  106,   34,    8
  20090228,   72,   20,   94,    5,   22,    5,    8
  20090301,   65,   -7,  107,   38,   13,    5,    6
  20090302,   54,   20,   90,   28,    0,    0,    5
  20090303,   58,   18,   88,    0,    0,   -1,    8
  20090304,   60,   44,   68,    0,    6,    1,    7
  20090305,   45,    3,   74,    7,   27,    3,    7
  20090306,   50,   21,   73,   24,   20,    4,    6
  20090307,   44,  -32,   89,   58,    6,    2,    4
  20090308,   74,   28,  103,   65,   64,   68,    6
  20090309,   58,   29,   78,    6,    8,    3,    7
  20090310,   56,   45,   77,    2,   61,   49,    7
  20090311,   67,   30,  100,   65,    0,   -1,    6
  20090312,   80,   63,  100,    0,   60,   29,    7
  20090313,   77,   42,  126,   63,    0,    0,    5
  20090314,   89,   72,  120,   18,   29,   16,    7
  20090315,   82,   61,  113,   31,    0,    0,    7
  20090316,   80,   64,  105,   30,    0,    0,    6
  20090317,   72,   -1,  119,   86,    0,    0,    3
  20090318,   45,  -16,  117,   79,    0,    0,    5
  20090319,   70,   33,  116,   78,    0,    0,    4
  20090320,   44,  -11,  106,  112,    0,    0,    0
  20090321,   49,  -31,  120,  111,    0,    0,    1
  20090322,   81,   49,  110,   61,    0,   -1,    7
  20090323,   70,   40,   89,   17,   31,   58,    7
  20090324,   50,   27,   85,   82,   11,    8,    5
  20090325,   59,   37,   91,   24,   81,   87,    8
  20090326,   73,   49,   96,    2,   83,   48,    7
  20090327,   68,   49,   96,   47,   10,   13,    6
  20090328,   61,   45,  105,   33,   88,   88,    7
  20090329,   57,   12,   95,   42,    0,   -1,    7
  20090330,   50,   -4,  109,  102,    0,    0,    3
  20090331,   73,  -17,  148,  110,    0,    0,    1
  20090401,   97,   41,  152,  111,    0,    0,    1
  20090402,  119,   59,  185,  120,    0,    0,    0
  20090403,  133,   42,  223,  117,    0,    0,    0
  20090404,   96,   64,  126,    4,    0,    0,    8
  20090405,   94,   63,  154,   59,    0,    0,    4
  20090406,  124,   40,  193,   88,    0,    0,    2
  20090407,  106,   74,  133,    3,    0,   -1,    6
  20090408,   89,   33,  124,   38,   38,   22,    3
  20090409,  107,   29,  173,   25,    5,    1,    5
  20090410,  173,  114,  237,   92,    2,    2,    4
  20090411,  167,  116,  214,   52,    5,    2,    6
  20090412,  140,   86,  186,   22,   13,   58,    7
  20090413,  116,   69,  181,   95,    0,    0,    1
  20090414,  130,   65,  193,   85,    0,    0,    3
  20090415,  173,   91,  236,  125,    0,   -1,    1
  20090416,  145,   98,  190,   30,   10,    3,    6
  20090417,  126,   86,  178,   63,   29,   23,    5
  20090418,  119,   51,  186,  128,    0,    0,    1
  20090419,  117,   59,  179,   81,    0,    0,    2
  20090420,  131,   39,  203,  121,    0,    0,    0
  20090421,  123,   56,  186,  132,    0,    0,    0
  20090422,  101,   53,  150,  121,    0,    0,    1
  20090423,   99,   45,  161,   68,    0,    0,    4
  20090424,  124,   39,  188,  132,    0,    0,    0
  20090425,  139,   77,  202,   77,    0,   -1,    4
  20090426,  133,  101,  177,   36,   44,   28,    8
  20090427,  117,   83,  164,   61,   44,   44,    6
  20090428,   92,   32,  126,   13,   44,   16,    6
  20090429,   99,   24,  167,   64,    0,    0,    2
  20090430,  124,   28,  194,  102,    0,    0,    2
  20090501,  143,   73,  223,  108,    0,    0,    2
  20090502,  127,   57,  187,   83,    0,    0,    3
  20090503,   93,   46,  144,   40,   16,    4,    6
  20090504,  101,   24,  147,   90,   15,    6,    5
  20090505,  117,   90,  132,    1,  112,   81,    8
  20090506,  131,  106,  161,    3,   56,   37,    8
  20090507,  128,   85,  175,   51,    0,    0,    5
  20090508,  120,   79,  177,   74,    5,   15,    4
  20090509,  115,   53,  168,   56,    0,    0,    5
  20090510,  136,   52,  204,  129,    0,    0,    2
  20090511,  118,   62,  174,  100,    0,    0,    3
  20090512,  131,   50,  178,   84,    0,    0,    4
  20090513,  159,  107,  214,   66,    0,   -1,    7
  20090514,  164,  128,  212,   21,   17,   23,    8
  20090515,  135,   89,  174,    3,   81,   89,    7
  20090516,  126,   73,  171,   80,    3,    2,    5
  20090517,  130,  100,  163,   26,   92,  128,    6
  20090518,  139,   94,  183,  105,    0,   -1,    4
  20090519,  140,   73,  201,   73,    0,    0,    4
  20090520,  143,   66,  202,   96,    0,    0,    3
  20090521,  137,   71,  194,   62,    0,    0,    4
  20090522,  133,   60,  177,  117,    3,    6,    5
  20090523,  162,  109,  213,   71,    0,   -1,    5
  20090524,  162,   92,  224,  148,    0,    0,    0
  20090525,  187,   91,  253,   99,    4,    1,    4
  20090526,  143,   96,  192,   27,   44,  256,    6
  20090527,  122,   80,  152,   44,    9,    2,    6
  20090528,  152,  102,  186,   90,    0,    0,    4
  20090529,  150,   69,  207,  150,    0,    0,    0
  20090530,  165,   83,  221,  150,    0,    0,    1
  20090531,  186,  124,  239,  117,    0,    0,    2
  20090601,  191,  126,  252,  144,    0,    0,    1
  20090602,  161,  117,  213,  130,    0,    0,    2
  20090603,  126,  102,  158,   54,    0,    0,    6
  20090604,  105,   72,  138,   33,    3,    2,    7
  20090605,  101,   50,  132,   36,    3,    1,    5
  20090606,  117,   53,  170,   48,    0,    0,    5
  20090607,  112,   70,  163,   15,   38,  109,    7
  20090608,  141,   80,  189,   86,    9,    1,    5
  20090609,  148,  121,  196,   54,   33,   99,    7
  20090610,  142,  118,  178,   22,   55,   66,    8
  20090611,  131,   97,  164,   49,   84,  103,    7
  20090612,  132,   64,  178,  148,    0,    0,    2
  20090613,  149,   45,  216,  114,    0,    0,    4
  20090614,  166,  133,  207,   37,   50,   41,    7
  20090615,  154,  109,  191,   39,    7,   12,    6
  20090616,  138,   88,  189,   78,   28,   59,    4
  20090617,  173,   73,  226,  102,    6,    3,    4
  20090618,  172,  147,  208,   74,    4,    1,    7
  20090619,  153,  125,  176,   98,    6,    2,    6
  20090620,  144,  109,  181,   71,    2,    2,    6
  20090621,  135,   80,  184,   70,    3,    2,    6
  20090622,  144,   79,  188,   72,    0,   -1,    5
  20090623,  163,   75,  217,  146,    0,    0,    1
  20090624,  181,  109,  242,  142,    0,    0,    1
  20090625,  204,  133,  265,  122,    0,    0,    2
  20090626,  200,  137,  247,   44,    7,   18,    6
  20090627,  199,  161,  254,   24,    0,    0,    5
  20090628,  198,  170,  238,   36,   14,   12,    6
  20090629,  205,  159,  267,   97,    0,    0,    4
  20090630,  208,  163,  257,  131,    0,    0,    1
  20090701,  211,  158,  264,  107,    0,    0,    2
  20090702,  234,  166,  297,  106,    0,    0,    2
  20090703,  222,  177,  289,   97,    0,    0,    4
  20090704,  202,  138,  249,  130,    0,    0,    2
  20090705,  206,  123,  277,   91,    0,   -1,    4
  20090706,  185,  149,  231,   91,    4,   17,    4
  20090707,  158,  133,  185,   35,   36,  192,    7
  20090708,  156,  133,  191,   45,   25,   51,    7
  20090709,  151,  126,  181,   57,    0,   -1,    6
  20090710,  144,  122,  172,   16,   51,   41,    8
  20090711,  166,  111,  202,   70,    0,   -1,    7
  20090712,  175,  146,  215,   47,   67,   65,    6
  20090713,  182,  130,  231,   93,    0,    0,    5
  20090714,  195,  120,  253,   77,    0,   -1,    5
  20090715,  197,  146,  239,  115,    1,    3,    4
  20090716,  204,  133,  251,  122,    0,    0,    2
  20090717,  192,  158,  226,   81,   26,   77,    5
  20090718,  160,  143,  196,   46,   24,   41,    6
  20090719,  167,  135,  195,   59,   18,   83,    6
  20090720,  174,  131,  209,   84,    9,   15,    6
  20090721,  191,  112,  266,   58,   15,   95,    6
  20090722,  193,  155,  244,   44,   48,  120,    7
  20090723,  171,  150,  210,   31,   25,   43,    7
  20090724,  163,  139,  204,   65,   18,   57,    6
  20090725,  165,  114,  206,  121,    0,   -1,    3
  20090726,  181,  103,  234,   82,    0,   -1,    4
  20090727,  179,  139,  249,   62,    8,    5,    5
  20090728,  172,  138,  217,   72,    5,    2,    6
  20090729,  194,  139,  251,   28,    6,  117,    8
  20090730,  160,  101,  208,   90,   11,   47,    4
  20090731,  155,   91,  214,  109,    0,    0,    2
  20090801,  188,  104,  254,   68,    0,   -1,    6
  20090802,  165,   96,  192,   19,   59,   99,    6
  20090803,  159,   90,  224,   68,    0,    0,    4
  20090804,  185,   91,  254,  135,    0,    0,    3
  20090805,  208,  121,  271,   97,    0,    0,    4
  20090806,  221,  150,  289,  119,    0,    0,    2
  20090807,  216,  155,  283,   59,    0,    0,    5
  20090808,  186,  138,  228,   58,    0,    0,    5
  20090809,  172,  111,  220,   24,    0,    0,    6
  20090810,  183,  106,  245,   75,   24,   11,    5
  20090811,  188,  151,  224,   34,   34,   51,    6
  20090812,  179,  144,  197,   18,   42,   49,    7
  20090813,  175,  110,  221,   54,    0,    0,    6
  20090814,  168,   88,  223,   87,    0,    0,    3
  20090815,  212,  153,  279,  123,    0,    0,    1
  20090816,  192,  130,  237,   85,    0,    0,    3
  20090817,  178,  130,  229,   51,    0,    0,    5
  20090818,  189,  129,  250,   97,    0,    0,    2
  20090819,  210,  133,  296,  113,    0,    0,    0
  20090820,  235,  163,  338,   78,    9,   14,    4
  20090821,  177,  136,  222,   62,    0,    0,    3
  20090822,  157,  101,  221,  102,    0,    0,    2
  20090823,  183,   87,  255,  120,    0,    0,    1
  20090824,  210,  151,  273,  102,    0,   -1,    3
  20090825,  168,  107,  211,   18,   32,   20,    6
  20090826,  174,  103,  240,   73,    0,    0,    3
  20090827,  190,  151,  234,   27,    0,   -1,    6
  20090828,  163,  105,  205,   75,   42,  215,    6
  20090829,  150,  113,  188,  109,   11,   10,    4
  20090830,  152,  126,  187,   43,    0,   -1,    6
  20090831,  188,  120,  256,   69,    0,    0,    3
  20090901,  175,  149,  211,   29,   30,   13,    5
  20090902,  170,  135,  212,   57,   15,    9,    6
  20090903,  153,  131,  183,   30,   53,   67,    7
  20090904,  142,  121,  181,   53,   73,  175,    7
  20090905,  154,  131,  183,   82,    5,   13,    6
  20090906,  149,  105,  181,   17,    0,   -1,    7
  20090907,  166,  106,  242,   90,    0,   -1,    3
  20090908,  185,  111,  276,  109,    0,    0,    1
  20090909,  168,  141,  190,    2,    0,   -1,    7
  20090910,  159,  102,  200,   89,    0,   -1,    4
  20090911,  145,   71,  182,   50,    0,    0,    5
  20090912,  146,   84,  196,   67,    0,   -1,    5
  20090913,  146,   88,  171,   30,    2,    3,    5
  20090914,  152,  121,  191,   55,    0,   -1,    6
  20090915,  150,  135,  166,    1,   45,   32,    8
  20090916,  158,  120,  201,   32,    0,    0,    5
  20090917,  129,   86,  180,   78,    0,    0,    3
  20090918,  143,   62,  212,  116,    0,    0,    0
  20090919,  171,  102,  249,   68,    0,    0,    5
  20090920,  149,   88,  209,   39,    0,    0,    4
  20090921,  137,   85,  198,   85,    0,    0,    3
  20090922,  153,   90,  208,   82,    0,    0,    3
  20090923,  165,  140,  197,   42,    0,   -1,    7
  20090924,  135,   66,  195,   86,    0,    0,    3
  20090925,  111,   49,  176,   20,    0,    0,    4
  20090926,  116,   42,  197,   95,    0,    0,    2
  20090927,  120,   56,  196,   81,    0,    0,    1
  20090928,  141,   72,  189,   12,    0,   -1,    6
  20090929,  153,  141,  172,    1,   12,    8,    8
  20090930,  148,  134,  164,    1,   45,   15,    8
  20091001,  131,   81,  155,   25,   22,   53,    6
  20091002,  115,   92,  142,    0,    0,   -1,    8
  20091003,  136,  112,  160,    6,    8,   48,    8
  20091004,  114,   51,  153,   83,    0,   -1,    4
  20091005,  111,   68,  132,    0,   50,   30,    8
  20091006,  150,  120,  187,    1,   24,   54,    8
  20091007,  159,  116,  197,   11,   92,  156,    8
  20091008,  106,   45,  159,   72,   45,  113,    3
  20091009,   94,   25,  144,   97,   24,   99,    3
  20091010,  128,  100,  167,   16,   25,   20,    7
  20091011,  121,   98,  149,    8,   28,  161,    7
  20091012,  110,   60,  145,   74,   10,   10,    4
  20091013,   87,   17,  140,   95,    0,    0,    3
  20091014,   39,  -10,  101,   84,    0,    0,    2
  20091015,   62,  -15,  125,   97,    0,    0,    4
  20091016,  105,   82,  134,   48,   51,   31,    6
  20091017,   80,   22,  134,   81,    0,   -1,    2
  20091018,   75,    5,  132,   50,    0,    0,    5
  20091019,   85,   61,  107,    2,    0,    0,    7
  20091020,   80,   41,  113,   68,    0,    0,    6
  20091021,  108,   71,  147,   41,    0,   -1,    6
  20091022,   88,   67,  114,    2,   29,   17,    7
  20091023,   92,   49,  150,   49,    0,    0,    5
  20091024,  110,   72,  147,    0,   84,   72,    7
  20091025,  130,  106,  163,   56,    0,   -1,    5
  20091026,  122,  111,  143,    0,   56,   34,    8
  20091027,  122,  102,  158,   29,    0,    0,    7
  20091028,  116,   86,  158,   70,    0,    0,    6
  20091029,  129,  108,  160,   10,    0,    0,    8
  20091030,  106,   81,  143,   37,    0,    0,    4
  20091031,  104,   81,  129,   16,    0,    0,    7
  20091101,  133,  117,  155,    0,   60,  143,    8
  20091102,   96,   50,  125,   24,    6,    2,    5
  20091103,   75,   32,  109,    8,   52,   60,    7
  20091104,   81,   62,  103,   17,   29,   28,    6
  20091105,   82,   66,  102,   12,   58,  114,    7
  20091106,   87,   67,  101,   16,    6,    7,    7
  20091107,   73,   22,  100,    7,   45,   44,    6
  20091108,   45,    9,   95,   62,    0,    0,    4
  20091109,   68,   43,   86,    2,    0,   -1,    7
  20091110,   75,   49,   91,    0,   44,   35,    8
  20091111,   77,   50,   87,    0,    0,   -1,    8
  20091112,   80,   29,  135,   38,   25,   18,    6
  20091113,  137,  101,  164,    4,   26,   18,    7
  20091114,  130,  116,  144,   32,   16,   21,    6
  20091115,  100,   67,  123,    6,   26,   63,    5
  20091116,  105,   58,  150,   14,   10,    7,    8
  20091117,  106,   89,  127,   13,    0,    0,    5
  20091118,  113,   89,  134,    0,   20,   15,    7
  20091119,  106,   87,  128,   53,    0,    0,    2
  20091120,  121,   89,  152,   34,   42,   44,    4
  20091121,  130,   98,  160,   61,   25,    8,    6
  20091122,  115,   82,  138,   36,   39,   59,    7
  20091123,  104,   83,  130,    5,   66,  190,    7
  20091124,  119,   95,  141,    3,   21,    9,    7
  20091125,  111,   91,  132,    3,   22,   31,    7
  20091126,   81,   59,   94,    5,   55,  104,    6
  20091127,   71,   54,   87,   27,   33,   56,    7
  20091128,   76,   61,   90,   14,   60,  112,    6
  20091129,   92,   76,  104,    0,   27,   12,    8
  20091130,   53,   23,   77,   17,    0,    0,    5
  20091201,   38,   -8,   85,   54,    6,    3,    4
  20091202,   43,    1,   64,    0,   57,   29,    7
  20091203,   81,   55,   97,    0,   55,   61,    8
  20091204,   50,   30,   70,    0,   43,   67,    8
  20091205,   73,   43,   96,    4,   60,   68,    8
  20091206,  102,   76,  121,    2,   50,   64,    6
  20091207,   74,   58,   88,   11,    0,   -1,    6
  20091208,   64,   23,   93,   18,   63,   24,    6
  20091209,   71,   33,   93,    0,   66,   28,    7
  20091210,   95,   87,  108,    7,   52,   61,    8
  20091211,   70,   29,   92,    4,    0,   -1,    7
  20091212,   37,   22,   56,   47,    0,    0,    5
  20091213,    6,  -20,   34,   54,    0,    0,    3
  20091214,  -29,  -49,  -12,    0,    0,    0,    5
  20091215,  -35,  -68,   14,   64,    0,    0,    2
  20091216,  -23,  -74,    6,   19,    0,   -1,    6
  20091217,  -11,  -25,   -3,    0,   83,   38,    8
  20091218,  -31,  -61,   -6,   60,    0,   -1,    5
  20091219,  -79, -115,  -47,   39,   15,    5,    7
  20091220,  -22,  -62,    3,    0,  134,   84,    7
  20091221,  -24,  -53,   -1,   21,   35,   16,    6
  20091222,    7,   -6,   26,   10,   36,   17,    7
  20091223,   -3,  -23,    9,    7,    0,    0,    5
  20091224,   -3,  -27,   20,   43,    8,   18,    5
  20091225,   25,    2,   46,    0,  142,  150,    8
  20091226,   37,   19,   56,   63,    0,   -1,    4
  20091227,   42,   26,   51,   14,   31,   39,    7
  20091228,   26,  -25,   73,   52,    0,   -1,    4
  20091229,    6,  -14,   17,    4,   56,   55,    6
  20091230,    3,   -3,    9,    0,   46,   17,    8
  20091231,    0,   -5,    5,    0,    0,   -1,    8
  20100101,  -16,  -63,    7,   42,    0,   -1,    4
  20100102,  -11,  -64,   12,    0,    8,    1,    8
  20100103,  -39,  -65,  -10,   62,    0,    0,    4
  20100104,  -29,  -54,   -6,   10,    0,   -1,    8
  20100105,   -7,  -30,   19,   33,    8,    9,    7
  20100106,  -30,  -52,   -5,   65,    9,    1,    5
  20100107,  -49, -100,  -21,   56,    0,   -1,    3
  20100108,  -50, -107,  -21,   29,    0,    0,    6
  20100109,  -22,  -49,   -5,    0,   58,   10,    8
  20100110,   -5,  -10,    2,    0,   49,   11,    8
  20100111,   -4,   -9,    0,    0,    0,   -1,    8
  20100112,  -17,  -42,   -7,   19,    0,   -1,    7
  20100113,  -30,  -50,  -12,    0,    0,   -1,    6
  20100114,    6,  -30,   48,   49,    0,    0,    4
  20100115,   13,    1,   18,    0,    0,    0,    8
  20100116,   10,   -1,   19,    0,   52,   77,    8
  20100117,   39,    8,   67,   18,   24,   14,    7
  20100118,   40,    2,   53,    0,   23,   12,    7
  20100119,   40,   19,   58,    0,    7,    3,    8
  20100120,   27,   16,   55,   47,    0,   -1,    6
  20100121,   27,   19,   38,    0,    0,   -1,    8
  20100122,   22,    2,   49,   50,    0,    0,    6
